,rates,mfcc,filter_bank,fraud,mfcc_mean,fbank_mean
0,48000,"[[ 1.34605934e+01 -5.27766580e+00 -6.24112057e+00 ... -1.39473267e+01
  -4.49686752e+00 -5.18946402e+00]
 [ 1.34621550e+01 -4.60450963e+00 -6.24781760e+00 ... -1.38440583e+01
  -6.32652160e+00 -4.44188553e+00]
 [ 1.33834987e+01 -3.72138607e+00 -5.13692784e+00 ... -1.21122211e+01
  -7.52042785e+00 -4.33395986e+00]
 ...
 [ 1.31466951e+01 -1.06200431e+01 -1.73846587e+00 ... -5.10623326e+00
  -1.04609570e+00 -7.09706983e+00]
 [ 1.31065207e+01 -1.05769040e+01 -1.40552821e+00 ... -1.43174661e+00
   1.00026292e+00 -6.03426926e+00]
 [ 1.28416631e+01 -1.05464474e+01 -3.02579862e-03 ... -9.31537160e+00
  -3.04608686e+00 -7.97156481e+00]]","[[ 9.10427807  8.98466762  8.67473839 ... 10.47544607 10.74412963
  10.7906329 ]
 [ 8.68531321  9.13273116  8.72533242 ... 10.40701639 10.70373206
  10.81906446]
 [ 8.55425726  9.26801641  9.8404461  ... 10.25771541 10.55218507
  10.88792254]
 ...
 [ 8.10556856  8.74146844  8.89308651 ... 10.54833698 10.88789809
  11.10588007]
 [ 8.03350033  8.60210692  8.82756123 ... 10.63150275 10.73831063
  11.08533861]
 [ 7.41143594  8.54809037  9.07459979 ... 10.53024878 10.44807605
  10.70944443]]",1,-4.285527533941831,12.972829992985623
1,48000,"[[ 12.9784474   -9.44764759  -4.76773019 ...  -3.26480557  -0.04203794
   -6.61695537]
 [ 12.78120312  -8.7027644   -5.14909931 ...  -5.78707053  -3.45199316
   -5.80621006]
 [ 12.68737366  -9.95661328  -5.58298874 ...  -7.88222167  -3.60637063
   -3.58631868]
 ...
 [ 12.61959781 -10.53403058  11.5744649  ...  -6.33148076  -2.25543395
   -3.73279102]
 [ 12.59247496 -10.98996162  12.36829048 ...  -0.33501776  -1.10564153
   -3.0684976 ]
 [ 12.25489014 -11.50314665  12.24905864 ...  -0.22862228  -1.12123551
   -5.10141189]]","[[ 7.79954825  8.69823076  7.99273117 ... 10.4713393  10.58647806
  10.92032503]
 [ 7.6626723   8.43696969  8.5236202  ... 10.10311489 10.40892721
  10.63600833]
 [ 7.29828902  7.8616586   8.12753319 ... 10.22205541 10.20685194
  10.58545332]
 ...
 [ 8.91705915  9.12937813  8.05093951 ... 10.58101423 10.83366141
  10.95470104]
 [ 9.22648853  9.18510968  7.91603668 ... 10.43860084 10.87208639
  10.92354098]
 [ 8.82174822  9.14603325  7.40667624 ... 10.04565535 10.54954171
  10.6209769 ]]",1,-3.789250608042534,12.862010568469897
2,48000,"[[ 13.22758613  -9.57886985 -12.79179612 ...  -5.63198003   5.55664758
   -5.8335708 ]
 [ 13.52011114  -8.67778446 -15.16733871 ...  -6.4431272    3.36695472
   -2.37360105]
 [ 13.7930269   -6.08449826 -16.95700175 ...  -7.60507035   4.29940095
   -0.07190905]
 ...
 [ 12.92824037 -12.71682325   3.80986561 ...  -3.50494491  -6.070785
  -14.50392965]
 [ 12.81897582 -11.74957307   5.42277306 ...  -0.48179963  -1.48438124
   -9.05421237]
 [ 12.59300854 -12.64050126   5.3673098  ...  -3.48120429  -1.41918413
   -6.61148855]]","[[ 7.46890408  7.55572627  8.07730876 ... 10.1288769  10.39780893
  10.6956782 ]
 [ 8.06808088  7.66926916  8.45568427 ... 10.12798312 10.60311398
  10.70191177]
 [ 8.56629     8.67850597  8.44840727 ... 10.15492477 10.59047494
  10.76957545]
 ...
 [ 8.4041884   9.60560253  8.9637987  ... 10.36698031 10.68754282
  10.99619841]
 [ 8.807108    9.2773921   8.77315751 ... 10.32662448 10.55576005
  10.84508632]
 [ 7.86871589  8.69404699  8.15677236 ... 10.11213852 10.35606578
  10.70942904]]",1,-4.397603098809193,12.562057263649947
3,44100,"[[ 11.60145908   5.5283956   -1.78381913 ... -11.41133193 -12.9658803
    1.61579379]
 [ 11.56266995   4.08820181  -2.09558481 ... -12.37545284 -11.40508143
    3.11557442]
 [ 11.32069563   2.66590955  -2.11251453 ...  -1.52687237  -3.83610344
    0.76189655]
 ...
 [ 17.20454359  23.71624369   1.43166194 ... -34.5774352  -22.96635494
   -6.45475854]
 [ 17.22857129  20.05610946   1.66010848 ... -48.16893176 -19.61762774
  -15.7615223 ]
 [ 16.76261914  18.15268684   1.42603452 ... -31.64373089  -9.38505314
   -8.81055604]]","[[ 6.80308195  8.13226799  9.67560183 ...  6.80629105  7.01849283
   6.8094035 ]
 [ 6.66123301  7.76968135 10.06243051 ...  6.92669494  7.12151298
   6.77707753]
 [ 7.33425414  8.16754554  9.18979218 ...  7.07769182  7.33865621
   6.88991216]
 ...
 [12.35365506 15.17363859 16.20937733 ... 10.44255156 10.77247744
  11.3061793 ]
 [11.82958414 15.20393563 16.16100215 ... 11.0757108  11.16545785
  11.36425335]
 [12.05628079 14.59489364 15.3976435  ... 11.17753291 11.14554124
  11.06658619]]",1,-2.1202838931441,10.910745029407964
4,44100,"[[ 16.5107715   17.70285664   3.54468544 ... -24.86329607 -40.13043074
  -23.15090254]
 [ 18.42702033  26.30666175  -4.65613447 ... -14.69534721 -43.70302603
  -24.03940827]
 [ 18.74510601  26.65370666  -4.2346553  ... -22.11354892 -51.84759394
  -23.39573102]
 ...
 [ 15.7362507    5.20214837 -29.28629879 ... -16.84569068 -19.88054385
   17.63206726]
 [ 15.09262014   3.66174972 -28.34297166 ...  -5.20079284 -11.51479605
   14.57600175]
 [ 14.35970009   4.83999182 -25.88140313 ...  -1.54235504 -11.52933992
   11.24909669]]","[[11.71926847 14.47182423 14.27365523 ...  9.21902503  9.00368753
  10.63973879]
 [12.4710112  15.46408042 15.0315856  ...  8.78514593  9.37164022
  12.88321667]
 [13.33044513 16.22444823 15.62965238 ...  8.82635546  9.43887912
  13.13799954]
 ...
 [ 8.41360179  8.21314062  8.45473244 ...  8.36176373  9.68513212
  11.80558303]
 [ 7.62840072  7.26525739  7.82215367 ...  8.11135134  9.01129599
  11.05403141]
 [ 5.64280594  6.38819385  8.11284126 ...  7.52376243  7.96972047
  10.22645225]]",1,-2.1592034123838353,10.807217693421567
5,44100,"[[ 16.31904553  -7.15809031 -20.37571611 ... -43.09966622  -3.01230082
   -5.76128998]
 [ 16.35724645  -3.2266832  -20.90017817 ... -55.49974911  -4.80538324
   -8.3764655 ]
 [ 16.33341673  -2.83188961 -19.08121824 ... -56.98946097  -3.73250434
   -6.67016736]
 ...
 [ 11.80777986   2.32072554  -6.41358199 ... -13.93116168  -9.0965751
   -1.92880852]
 [ 11.77060531   1.86445073  -6.08518469 ... -10.28433227  -6.13994361
   -0.10596145]
 [ 11.64027578   2.12455532  -6.02902493 ...  -7.14381706  -2.50922001
    0.84206414]]","[[ 8.77263581 11.7658433  12.27620579 ... 12.55246603 12.37896749
  12.3849301 ]
 [ 7.91349918 12.07511524 12.36492902 ... 12.27686467 12.17495829
  12.59136895]
 [ 7.83001198 12.17688958 12.47261895 ... 12.37569978 11.90593794
  12.48115635]
 ...
 [ 6.59410811  8.25588129  9.32137413 ...  7.19253427  7.9176023
   7.86187774]
 [ 6.48778209  7.86543412  9.17276008 ...  7.2384789   7.90173456
   7.77740753]
 [ 6.62438435  7.58115334  8.85537713 ...  7.21256071  7.73473183
   7.59836326]]",1,-0.3813562967485099,10.803471146953555
6,44100,"[[ 12.63381861   4.0912592   -7.9460779  ...   0.30257274   4.06715933
    9.85140617]
 [ 18.05179041   7.47375948 -16.00233613 ... -30.96508892 -11.74084575
   35.80319993]
 [ 18.06918953   7.92978853 -15.6578182  ... -36.87879637 -16.41364019
   33.75067209]
 ...
 [ 13.47652867  12.16407719  -1.39475681 ... -25.69310643 -13.46300841
   19.72559383]
 [ 13.02151705  10.69969539  -1.87596048 ... -23.81123306 -10.2287305
   19.0347727 ]
 [ 12.08039976   9.1217195   -1.43706935 ... -15.28027028  -8.4060742
   15.45666968]]","[[ 9.60821515  8.89696934  8.53033031 ...  8.39778508  8.330427
   8.24469257]
 [ 9.09556574  8.01731897  7.71830587 ...  9.08910686  9.0417468
  12.74896886]
 [ 8.63133351  7.89262084  8.77171557 ...  9.09655158  9.05522261
  12.76764847]
 ...
 [10.79725641 11.57518988 10.83433403 ...  7.06484387  8.18229628
   8.74121289]
 [10.21578545 11.05820698  9.94432647 ...  7.15410906  7.98976775
   8.37077001]
 [ 9.11196166 10.59015787  8.47572331 ...  6.75951585  7.37770848
   7.36692428]]",1,-0.935320232291313,10.506253746980597
7,44100,"[[ 16.00389514  -3.04973063  -9.36405698 ... -42.4216009  -14.47654914
  -36.19465767]
 [ 15.87768069  -0.08559873  -7.28659676 ... -40.96727032  -9.04465984
  -34.58243425]
 [ 15.77232932   1.84568706  -3.17852384 ... -39.13806552  -8.72624904
  -30.102228  ]
 ...
 [ 11.57764187   0.09218111  -9.67966498 ... -12.16631028 -14.22250598
   -2.24794988]
 [ 11.5933719    0.12964071 -10.69786468 ...  -8.98885981 -11.99073559
   -4.43487791]
 [ 11.43690055  -0.45341846 -12.06422986 ...  -6.30794822  -8.87287338
   -3.8363842 ]]","[[ 8.97404979 13.44378183 13.96274356 ... 12.4685727  12.68787132
  11.63406494]
 [10.64345989 13.31123899 14.01719346 ... 12.32994914 12.65561718
  11.29050617]
 [11.23314168 13.58211561 14.05317401 ... 12.29841118 12.63797715
  10.63211939]
 ...
 [ 5.65554222  7.41961223  8.24743516 ...  7.21445121  7.73480223
   7.60621593]
 [ 5.46465576  7.25114766  8.0795041  ...  7.15931848  7.70242777
   7.63371299]
 [ 5.49918567  6.63215306  7.50030603 ...  6.83189696  7.62505898
   7.54027553]]",1,-0.5400709475499655,11.12311656312953
8,48000,"[[ 14.14981312  -6.24982596 -17.19571428 ...  -9.77914639   3.69900574
    3.18450984]
 [ 13.85365002  -5.44657191 -16.20552817 ...  -4.46026569   0.10133272
   -1.74669994]
 [ 14.11772781  -4.51196737 -18.11450064 ...  -4.23621019  -4.37610426
    0.3489012 ]
 ...
 [ 12.67787558 -10.01822293   0.29490515 ...  -6.14474469   2.15231005
   -0.51957326]
 [ 12.60807959  -9.17327076   4.39419623 ... -10.59217579  -4.70047493
   -8.75116956]
 [ 12.39126655  -9.70356462   6.9836404  ... -10.39311766  -4.39313171
   -2.48698146]]","[[ 8.34565162  9.14300744  8.53584928 ... 10.36679217 10.7296303
  10.82640906]
 [ 8.18652271  9.02163426  8.81721096 ... 10.22684226 10.6821908
  10.64227784]
 [ 8.41867729  9.53750948  9.04187463 ... 10.22685128 10.5757273
  10.69027476]
 ...
 [ 8.00133915  9.41681431  7.1879625  ... 10.32898334 10.55322705
  10.82491307]
 [ 7.99354904  9.31712797  8.81961577 ... 10.304708   10.5654197
  10.79251578]
 [ 8.05567455  8.5414493   8.55060723 ... 10.19673029 10.49940961
  10.58934558]]",1,-4.506535174416694,12.685417397823281
9,44100,"[[ 16.09669608  11.75542348  -0.3044675  ... -27.99009044 -16.50550649
  -16.58970658]
 [ 17.99976833  18.82490616  -4.20411366 ... -30.5989073  -21.26556177
   -9.5365546 ]
 [ 18.31623246  18.14429329  -7.03167525 ... -28.02050625 -12.20475106
  -17.49765536]
 ...
 [ 15.52795972  18.51420153  -3.17826988 ... -23.23276125 -27.2525731
  -10.47847881]
 [ 15.66237001  20.89133207   2.52362731 ... -23.81970269 -25.48439674
   -6.42630695]
 [ 15.27892921  20.25762098   3.78157396 ... -24.16186916 -19.77532071
   -7.84211731]]","[[10.55598389 14.42509761 15.1074844  ... 10.37664948  9.80466149
  10.36553205]
 [11.24717556 14.02013817 14.86257769 ... 10.09523679  9.478953
  12.75197782]
 [11.08796785 13.77030425 14.02332544 ... 10.06572262 10.24137135
  13.15023939]
 ...
 [11.47140256 14.38579874 12.8903135  ...  8.01063759  8.54795182
  10.00077693]
 [12.45158923 14.98113159 13.38317172 ...  7.73321747  8.29849562
   9.56248316]
 [12.05516786 14.60308563 13.3230926  ...  7.84311242  8.07952802
   9.09567712]]",1,-0.5755381783012562,10.49688217931241
